25.8,78.5,26.6,18.1,6.24,213,15,21,43
25.9,78.4,26.6,18.1,6.29,217,15,21,42
26,77.9,26.6,18.1,6.31,215,15,21,42
26.2,76.7,26.6,18.1,6.31,212,15,21,43
26.5,75.7,26.7,18.1,6.3,216,15,21,43
26.7,74.8,26.7,18.1,6.27,214,15,21,42
27.1,73.1,26.8,18.2,6.38,214,15,21,43
27.6,71.7,26.9,18.2,6.4,215,15,21,43
28.1,68.3,27,18,6.39,215,15,21,43
28.5,67.3,27.1,18.1,6.4,213,15,21,43
29.8,63,27.2,18.1,6.43,216,15,21,43
39.4,39.1,27.5,18.3,6.42,216,15,21,43
41.4,35.8,27.6,18.2,6.39,214,15,21,43
41.7,33.6,27.8,18.3,6.41,214,15,21,43
41.9,31.5,28.1,18.3,6.41,215,15,21,43
44.4,28.3,29.1,18.6,6.34,218,15,21,43
43.7,30,29.7,18.6,6.44,216,15,21,43
39.5,33.6,29.7,18.6,6.45,218,15,21,43
38,36.4,29.6,18.5,6.46,218,15,21,43
40.8,32.9,29.6,18.5,6.52,218,15,21,43
36.3,39.2,29.6,18.5,6.46,216,15,21,43
33.9,42.7,29.6,18.3,6.47,215,15,21,43
33.8,42.3,29.6,18.3,6.44,214,15,21,42
34,40.9,29.6,18.4,6.46,213,15,21,42
34.6,38.3,29.7,18.3,6.45,209,15,21,42
34.5,38.4,29.7,18.3,6.43,212,15,21,42
35.2,35.8,29.8,18.3,6.38,209,14,20,41
35.5,34.3,29.9,18.3,6.42,208,14,20,41
35.1,35.7,30,18.3,6.41,208,14,20,41
34.5,35.4,29.9,18.2,6.4,200,14,20,40
34.5,35.6,30,18.2,6.37,201,14,20,40
34.7,35.4,30,18,6.37,200,14,19,39
34.7,37,30,18,6.39,200,14,19,39
34.2,38.4,30.1,17.9,6.41,200,14,20,40
34.2,38,30,17.9,6.4,197,14,19,39
34.3,39.3,30,17.9,6.39,197,14,20,40
34.4,38,30,17.8,6.4,199,14,20,40
33.7,39.5,30,17.8,6.44,200,14,20,40
33.3,47.2,30,17.8,6.35,199,14,19,39
33,48.6,30,17.7,6.45,200,14,19,39
32.7,50.7,30,17.6,6.49,200,14,19,39
32.4,52.4,30,17.5,6.36,197,14,20,40
